"Genome","type","napA","narG","nirK","nirS","all_nor","nosZ","Domain","Phylum","Class","Order","Family","Genus","Species","Identifier","Source","Completeness","Contamination","X","d","LowerCI","UpperCI","dCUB","nCAZy","nHE","nGenes","IoC","IoC2","functional_type"
"Esearch_CP045380_1_Labrenzia_sp_THAF35_chromosome.fasta","genome",1,0,0,0,0,0,"Bacteria","Alphaproteobacteria","Alphaproteobacteria","Hyphomicrobiales","Stappiaceae","Labrenzia","","CP045380.1","THAF35|Germany: Animal Facility, Justus-Liebig-University, Giessen|Surface of a polyethylene microplastic particle present in tank 6 of a marine aquarium containing stony-coral fragments and water maintained at 26 degree C|50.5686 N 8.6717 E|30-Aug-2016",100,0,340,2.56125147797212,2.25618989609997,2.9143022984996,-0.251469376770876,112,42,5683,4.18768195452627,4.9209215052412,"nitrate1"
"Esearch_CP045384_1_Ruegeria_sp_THAF33_chromosome.fasta","genome",1,0,0,0,0,0,"Bacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Ruegeria","","CP045384.1","THAF33|Germany: Animal Facility, Justus-Liebig-University, Giessen|Surface of a polyethylene microplastic particle present in tank 6 of a marine aquarium containing stony-coral fragments and water maintained at 26 degree C|50.5686 N 8.6717 E|2016-08-30",100,0,341,2.30159017289365,2.02815780670888,2.61790882784828,-0.282023346195838,53,43,3440,3.32650065225808,3.65311985605936,"nitrate1"
"Esearch_CP045389_1_Roseivivax_sp_THAF30_chromosome.fasta","genome",0,0,1,0,1,0,"Bacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Roseivivax","","CP045389.1","THAF30|Germany: Animal Facility, Justus-Liebig-University, Giessen|Surface of a polyethylene microplastic particle present in tank 6 of a marine aquarium containing stony-coral fragments and water maintained at 26 degree C|50.5686 N 8.6717 E|2016-08-30",100,0,342,4.55632163308376,3.88034061964768,5.37006670179973,-0.123773547727656,88,43,3715,2.76333780639558,3.54787676257525,"nitrite1"
"Esearch_CP045393_1_Roseovarius_sp_THAF27_chromosome.fasta","genome",0,0,1,0,1,0,"Bacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Roseovarius","","CP045393.1","THAF27|Germany: Animal Facility, Justus-Liebig-University, Giessen|Surface of a polyethylene microplastic particle present in tank 6 of a marine aquarium containing stony-coral fragments and water maintained at 26 degree C|50.5686 N 8.6717 E|2016-08-30",100,0,343,4.8264518826326,4.08644442642977,5.72338191447116,-0.0336089705357701,71,42,4131,2.74714721396119,3.20700343117643,"nitrite1"
"Esearch_CP045399_1_Halomonas_sp_THAF12_chromosome.fasta","genome",1,0,0,0,0,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","","CP045399.1","THAF12|Germany: Animal Facility, Justus-Liebig-University, Giessen|Surface of a polyethylene microplastic particle present in tank 6 of a marine aquarium containing stony-coral fragments and water maintained at 26 degree C|50.5686 N 8.6717 E|2016-08-16",100,0,344,2.08639317987617,1.8360405695057,2.37646829498796,-0.318180044503308,64,48,3440,3.40054351959535,3.90240077411089,"nitrate1"
"Esearch_CP045410_1_Roseovarius_sp_THAF8_chromosome.fasta","genome",0,0,1,0,1,0,"Bacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Roseovarius","","CP045410.1","THAF8|Germany: Animal Facility, Justus-Liebig-University, Giessen|Surface of a polyethylene microplastic particle present in tank 6 of a marine aquarium containing stony-coral fragments and water maintained at 26 degree C|50.5686 N 8.6717 E|2016-08-16",100,0,345,5.41447424669923,4.52665819927167,6.50662847794028,-0.0104984877298303,67,42,3965,2.59406372509971,3.02363132263179,"nitrite1"
"Esearch_CP045416_1_Pseudomonas_sp_THAF7b_chromosome.fasta","genome",1,1,0,1,1,1,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Stutzerimonas","Stutzerimonas stutzeri group","CP045416.1","THAF7b|Germany: Animal Facility, Justus-Liebig-University, Giessen|Surface of a polyethylene microplastic particle present in tank 6 of a marine aquarium containing stony-coral fragments and water maintained at 26 degree C|50.5686 N 8.6717 E|2016-08-16",100,0,346,1.35505724026538,1.16730982225241,1.57806435309563,-0.402715206601196,74,49,4191,4.0601075723878,4.57571911769395,"nitrate3"
"Esearch_CP045417_1_Halomonas_sp_THAF5a_chromosome.fasta","genome",1,1,0,0,1,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","","CP045417.1","THAF5a|Germany: Animal Facility, Justus-Liebig-University, Giessen|Surface of a polyethylene microplastic particle present in tank 6 of a marine aquarium containing stony-coral fragments and water maintained at 26 degree C|50.5686 N 8.6717 E|2016-08-16",100,0,347,2.31850529715818,2.04314098960627,2.63704483668223,-0.301832604632569,62,48,3401,3.33138185910897,3.80879430433739,"nitrate1"
"Esearch_CP045537_1_Bacillaceae_bacterium_C05_chromosome.fasta","genome",0,1,0,0,0,0,"Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","","","CP045537.1","surface sea water",100,0,348,0.805783123836073,0.664089719741435,0.983040508512272,-0.538782424990419,88,46,5311,5.07339699160038,5.62782219678884,"nitrate1"
"Esearch_CP045617_1_Roseibium_aggregatum_strain_RF14_chromosome.fasta","genome",1,0,0,0,0,0,"Bacteria","Alphaproteobacteria","Alphaproteobacteria","Hyphomicrobiales","Stappiaceae","Roseibium","","CP045617.1","RF14|Labrenzia aggregata|Pacific Ocean|ENVO:00002149|11.38 N 142.5 E|2016-04",100,0,349,2.65245457242528,2.33527091984611,3.01976460647198,-0.247085237760101,115,42,5372,4.0003123400567,4.80057870438658,"nitrate1"
"Esearch_CP045622_1_Roseibium_aggregatum_strain_SDL044_chromosome.fasta","genome",1,0,0,0,0,0,"Bacteria","Alphaproteobacteria","Alphaproteobacteria","Hyphomicrobiales","Stappiaceae","Roseibium","","CP045622.1","SDL044|Labrenzia aggregata|Pacific Ocean|ENVO:00002149|25.0 N 146.0 E|2017-10",100,0,350,2.59367354511369,2.28436317768312,2.95171208023668,-0.252672472071229,112,42,5373,4.02959746490446,4.79995624984785,"nitrate1"
"Esearch_CP045627_1_Roseibium_aggregatum_strain_ZYF703_chromosome.fasta","genome",1,0,0,0,0,0,"Bacteria","Alphaproteobacteria","Alphaproteobacteria","Hyphomicrobiales","Stappiaceae","Roseibium","","CP045627.1","ZYF703|Labrenzia aggregata|Pacific Ocean|ENVO:00002149|11.37 N 142.34 E|2017-11",100,0,351,2.56479286473402,2.25927044799639,2.91838411876224,-0.254608540932821,116,42,5389,4.03259742463294,4.84109958597343,"nitrate1"
"Esearch_CP045631_1_Roseibium_aggregatum_strain_ZYF612_chromosome.fasta","genome",1,0,0,0,0,0,"Bacteria","Alphaproteobacteria","Alphaproteobacteria","Hyphomicrobiales","Stappiaceae","Roseibium","","CP045631.1","ZYF612|Labrenzia aggregata|Pacific Ocean|ENVO:00002149|11.37 N 142.34 E|2017-11",100,0,352,2.64830035375851,2.33168032801139,3.01494545891493,-0.246952960311628,109,42,5336,3.9992962145342,4.74378585793861,"nitrate1"
"Esearch_CP046242_1_Bizionia_sp_M204_chromosome.fasta","genome",0,0,1,0,1,1,"Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Bizionia","","CP046242.1","M204|Germany|Oceanic sample|2016-04",100,0,353,3.25965756930309,2.84865499313055,3.73973979747423,-0.205005447909685,87,43,3065,2.66951824579152,3.66230192278694,"nitrite2"
"Esearch_CP046600_1_Mycobacterium_spongiae_strain_FSD4b-SM_chromosome.fasta","genome",0,1,0,0,0,0,"Bacteria","Actinobacteriota","Actinomycetes","Mycobacteriales","Mycobacteriaceae","Mycobacterium","","CP046600.1","FSD4b-SM|type strain of Mycobacterium spongiae|Australia: Off the coast near Cooktown, Great Barrier Reef, depth 25 metres|Marine|2004",100,0,354,7.14630198171141,5.76873511220062,8.91223507984168,-0.0059089563921368,101,47,4606,2.79214859467312,3.5435181678077,"nitrate1"
"Esearch_CP046670_1_Alteromonas_mediterranea_strain_AltCH17_chromosome.fasta","genome",1,0,0,0,0,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","","CP046670.1","AltCH17|Mediterranean Sea: Alicante, Spain|seawater surface|2016-07-15",100,0,355,1.19615834194166,1.02073285517861,1.40684252674149,-0.486896155781682,121,49,3819,3.95190428790344,5.20177424578006,"nitrate1"
"Esearch_CP046908_1_Stappia_indica_strain_PHM037_chromosome.fasta","genome",1,0,1,0,1,0,"Bacteria","Alphaproteobacteria","Alphaproteobacteria","Hyphomicrobiales","Stappiaceae","Stappia","","CP046908.1","PHM037|marine sponge Pandaros acanthifolium|Martinique|2004",100,0,356,4.42517552484358,3.7793128341389,5.20010103851514,-0.144880653540638,63,42,4595,3.40902656877141,3.72532670396138,"nitrate2"
"Esearch_CP047023_1_Paraglaciecola_sp_L3A3_chromosome.fasta","genome",1,0,0,0,1,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Paraglaciecola","","CP047023.1","L3A3|brown algae|Arctic Ocean|beach|2017-08",100,0,357,1.83571318052966,1.60904146706996,2.09956574789981,-0.357184543105542,186,50,4409,3.59805837376532,5.45263038203692,"nitrate1"
"Esearch_CP047024_1_Paraglaciecola_sp_L1A13_chromosome.fasta","genome",1,0,0,0,1,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Paraglaciecola","","CP047024.1","L1A13|brown algae|Arctic Ocean|beach|2017-08",100,0,358,2.33057965444399,2.05382549134288,2.65071895819819,-0.303365726705265,104,50,4254,3.62957442736957,4.51003777728952,"nitrate1"
"Esearch_CP047025_1_Cobetia_sp_L2A1_chromosome.fasta","genome",1,0,0,0,0,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Cobetia","","CP047025.1","L2A1|brown algae|Arctic Ocean|beach|2017-08",100,0,359,2.03235466569047,1.78737996808423,2.31640295947637,-0.279273309513425,75,47,3510,3.25123319550093,3.90512962717877,"nitrate1"
"Esearch_CP047026_1_Polaribacter_sp_L3A8_chromosome.fasta","genome",1,0,1,0,1,0,"Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Polaribacter","","CP047026.1","L3A8|brown algae|Arctic Ocean|beach|2017-08",100,0,360,5.54560985271637,4.62338942957641,6.68380101118005,-0.0642066472960814,168,42,3537,2.0805305373059,4.13304573862699,"nitrate2"
"Esearch_CP047028_1_Formosa_sp_L2A11_chromosome.fasta","genome",1,0,1,0,1,0,"Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Formosa","","CP047028.1","L2A11|brown algae|Arctic Ocean|beach|2017-08",100,0,362,4.73459185186582,4.01664861579902,5.6027563139887,-0.0896324232877839,134,41,3337,2.19773743646329,3.83970359230991,"nitrate2"
"Esearch_CP047029_1_Algibacter_sp_L1A34_chromosome.fasta","genome",1,0,1,0,1,0,"Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Algibacter","","CP047029.1","L1A34|brown algae|Arctic Ocean|beach|2017-08",100,0,363,3.96509359965559,3.41943543956921,4.61240616775637,-0.12894703363497,205,42,3914,2.40167565233103,4.75184475029505,"nitrate2"
"Esearch_CP047030_1_Algibacter_sp_L3A6_chromosome.fasta","genome",1,0,1,0,1,0,"Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Algibacter","","CP047030.1","L3A6|brown algae|Arctic Ocean|beach|2017-08",100,0,364,3.65060665317493,3.16805988211663,4.21887288339246,-0.144155877641475,219,41,3784,2.30426392139104,4.94230644048131,"nitrate2"
"Esearch_CP047670_1_Alcaligenes_faecalis_strain_SCSIO_B001_chromosome.fasta","genome",0,0,1,1,1,1,"Bacteria","Betaproteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Alcaligenes","","CP047670.1","SCSIO B001|2015-08",100,0,365,2.39136918995288,2.10748007272792,2.7197467771017,-0.221465394303296,51,47,3661,3.24103524116372,3.50108114858832,"nitrite2"
"Esearch_CP048410_1_Gramella_sp_MT6_chromosome.fasta","genome",0,0,0,0,0,1,"Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Gramella","","CP048410.1","MT6|Papua New Guinea|deep sea|2016-12-25",100,0,387,3.02211715349609,2.65046065114088,3.45444926488476,-0.216792973649893,137,41,3389,2.66281219332386,4.33224339011667,"N2O1"
"Esearch_CP048411_1_Pseudomonas_sp_MTM4_chromosome.fasta","genome",1,0,0,1,1,1,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","","CP048411.1","MTM4|Papua New Guinea|deep sea|2016-12-25",100,0,388,2.35725872855057,2.07740155270226,2.68097568803657,-0.251476685124835,88,50,4303,3.53626707985417,4.20109130837311,"nitrate3"
"Esearch_CP048415_1_Algoriphagus_sp_NBT04N3_chromosome.fasta","genome",0,0,0,0,0,1,"Bacteria","Bacteroidota","Cytophagia","Cytophagales","Cyclobacteriaceae","Algoriphagus","","CP048415.1","NBT04N3|Solomon Islands|deep sea|2017-01-31",100,0,389,1.8952976821953,1.66327703029626,2.1649970510747,-0.342715160642791,139,44,4259,3.63499973812917,4.96093615790845,"N2O1"
"Esearch_CP048602_1_Halomonas_piezotolerans_strain_NBT06E8_chromosome.fasta","genome",1,0,0,0,0,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","","CP048602.1","NBT06E8|type strain of Halomonas piezotolerans|Halomonas sp. NBT06E8|Solomon Islands|deep sea|2017-01-31|Rulong Liu|Zhe Xie",100,0,390,2.34159079505781,2.06356129412226,2.66319952316166,-0.244368429725489,56,47,3601,3.26680609766291,3.61126342031152,"nitrate1"
"Esearch_CP048629_1_Pseudomonas_sp_OIL-1_chromosome.fasta","genome",1,0,1,0,1,1,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","","CP048629.1","OIL-1|Canada: Logy Bay|seawater|2017-08",100,0,391,2.49159811706906,2.19543847436666,2.83423664870392,-0.254808461953692,77,48,3858,3.34991221905103,3.95337274998116,"nitrate3"
"Esearch_CP048788_1_Roseobacter_ponti_strain_DSM_106830_chromosome.fasta","genome",0,0,1,0,1,0,"Bacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Roseobacter","","CP048788.1","DSM 106830|DSM:106830|type strain of Roseobacter ponti|South Korea|seawater|2015-01-01",100,0,392,3.64381509189697,3.16257882490042,4.21045179513332,-0.187855188785033,71,42,3721,3.06636955732976,3.60699326965123,"nitrite1"
"Esearch_CP048877_1_Thermosulfuriphilus_ammonigenes_strain_ST65_chromosome.fasta","genome",1,0,0,0,0,0,"Bacteria","Thermodesulfobacteriota","Thermodesulfobacteria","Thermodesulfobacteriales","Thermodesulfobacteriaceae","Thermosulfuriphilus","","CP048877.1","ST65|DSM:102941|type strain of Thermosulfuriphilus ammonigenes|Pacific Ocean: Eastern Lau Spreading Centre|deep-sea hydrothermal vent|21.993 S 176.5683 W|2009",100,0,393,5.3644224301868,4.48960562635024,6.43923877760739,-0.0557214663386936,47,44,2185,1.85209037319709,2.39393645672089,"nitrate1"
"Esearch_CP049115_1_Pantoea_stewartii_strain_ZJ-FGZX1_chromosome.fasta","genome",1,0,0,0,0,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea","","CP049115.1","ZJ-FGZX1|Dracaena sanderiana|China: Zhanjiang City, Guangdong|leaf|21.54 N 110.50 E|2017-09-10|Dr. Hanqiao Hu|Dr. Hanqiao Hu|70 m",100,0,394,0.905957594201722,0.75480151598643,1.09265657331277,-0.555202540898689,116,52,4243,4.45903706927992,5.51233348600636,"nitrate1"
"Esearch_CP049330_1_Bacillus_licheniformis_strain_CP6_chromosome.fasta","genome",0,1,0,0,1,0,"Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus subtilis group","CP049330.1","CP6|South Korea: 86, Jungnim 3-ro, Gwangdo-myeon, Tongyeong-si, Gyeongsangnam-do|seawater|2016-08-16",100,0,395,0.511310720798808,0.403281120738285,0.653645186466746,-0.764476083658909,148,47,4409,5.16649893020239,6.58384096523673,"nitrate1"
"Esearch_CP049795_1_Delftia_sp_WY8_chromosome.fasta","genome",0,1,0,0,0,0,"Bacteria","Betaproteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Delftia","","CP049795.1","WY8|Euphausia superba|Antarctica|2016",100,0,396,1.46264124521609,1.26658583217202,1.694102002438,-0.404689241657421,66,49,5983,5.00607948834338,5.30489418150588,"nitrate1"
"Esearch_CP049811_1_Pontibrevibacter_nitratireducens_strain_ALG8_chromosome.fasta","genome",1,0,0,0,0,0,"Bacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Pontibrevibacter","","CP049811.1","ALG8|Monaibacterium sp. ALG8|China: zhoushan|seawater in intertidal zone|30.02 N 122.34 E|Sep-2018",100,0,397,3.63293261785883,3.15379144996428,4.1969652467163,-0.173077609844231,50,47,2985,2.7120300883296,3.0678529643832,"nitrate1"
"Esearch_CP049902_1_Psychrobacter_sp_WY6_chromosome.fasta","genome",0,1,0,0,0,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Moraxellales","Moraxellaceae","Psychrobacter","","CP049902.1","WY6|Euphausia superba|Antarctica|2016",100,0,398,1.82326737461503,1.59769305754898,2.08592659466765,-0.313105689135259,33,42,4136,3.87996788661294,3.86225166025628,"nitrate1"
"Esearch_CP050460_1_Leeuwenhoekiella_sp_ZYFB001_chromosome.fasta","genome",1,0,0,0,0,0,"Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Leeuwenhoekiella","","CP050460.1","ZYFB001|China: Yellow Sea|marine snow particles in surface water|2015-08",100,0,399,2.41580197427852,2.12898004517131,2.74757782955518,-0.270129953702417,191,40,3464,2.64232067819944,5.11612678701894,"nitrate1"
"Esearch_CP050693_1_Streptomyces_sp_891-h_chromosome.fasta","genome",0,1,0,0,0,0,"Bacteria","Actinobacteriota","Actinomycetes","Kitasatosporales","Streptomycetaceae","Streptomyces","","CP050693.1","891-h|China:South Sea|water|2010-01-01",100,0,400,4.67866921634634,3.97401290785786,5.52956105255405,-0.117512724800104,195,45,6891,4.13669436304078,5.41962594026204,"nitrate1"
"Esearch_CP050861_1_Tenacibaculum_mesophilum_strain_bac2_chromosome.fasta","genome",0,0,1,0,1,0,"Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Tenacibaculum","","CP050861.1","bac2|Tedania|China: Fujian, Dongshan, Fujian Dongshan Bay|2020-01-01",100,0,401,3.98667580950743,3.43651862995672,4.63966440862991,-0.115590582217264,39,44,3009,2.58412174326204,2.73315425502063,"nitrite1"
"Esearch_CP051130_1_Parasphingopyxis_sp_CP4_chromosome.fasta","genome",0,1,0,0,0,0,"Bacteria","Alphaproteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Parasphingopyxis","","CP051130.1","CP4|South Korea: Chuja island|Sea water|2017-09-11",100,0,402,4.98295418522279,4.20469176600899,5.92999716665005,-0.0849955812880462,48,38,2901,2.36795219926336,2.70000335327324,"nitrate1"
"Esearch_CP051180_1_Ferrimonas_lipolytica_strain_S7_chromosome.fasta","genome",1,0,0,0,0,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Alteromonadales","Ferrimonadaceae","Ferrimonas","","CP051180.1","S7|KCTC:72490|type strain of Ferrimonas lipolytica|Ferrimonas sp. S7|South Korea: Uljin|seawater|36.42 N 129.28 E|2018-12-10|Kyunghwa Baek|Seung Seob Bae",100,0,403,1.656932751482,1.445444723819,1.90447829347897,-0.344798732338744,46,50,3618,3.67313823623415,3.87267111518472,"nitrate1"
"Esearch_CP051461_1_Polaromonas_vacuolata_strain_KCTC_22033_chromosome.fasta","genome",1,0,0,0,0,0,"Bacteria","Betaproteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Polaromonas","","CP051461.1","KCTC 22033|KCTC:22033|type strain of Polaromonas vacuolata|Antarctica: Anvers Island|Beneath sea ice. Antarctic waters off the Palmer Peninsula near the U.S. Palmer Station|64.55 S 63.58 W|1986-12-08",100,0,404,2.98922900166199,2.62275884362487,3.41531208691329,-0.178676851335349,63,48,3475,2.93592405080049,3.40516982395691,"nitrate1"
"Esearch_CP051488_1_Kosakonia_sp_SMBL-WEM22_chromosome.fasta","genome",1,1,0,0,0,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Kosakonia","","CP051488.1","SMBL-WEM22|Kosakonia sp. 'cowanii'|Hong Kong|seawater|22.2345 N 114.1952 E|2018",100,0,405,0.818299619945324,0.67538118000736,0.996785937521503,-0.535185311037903,134,51,4714,4.58920949152169,5.73686682412012,"nitrate1"
"Esearch_CP051630_1_Pyruvatibacter_mobilis_strain_CGMCC_1_15125_chromosome.fasta","genome",1,0,0,0,0,0,"Bacteria","Alphaproteobacteria","Alphaproteobacteria","Hyphomicrobiales","Parvibaculaceae","Pyruvatibacter","","CP051630.1","CGMCC 1.15125|Picochloruma sp. 122|CGMCC:1.15125|type strain of Pyruvatibacter mobilis|China:Guangzhou|culture broth of a marine microalga|2013-12",100,0,406,4.55033907794598,3.87574611142942,5.36229061755731,-0.0715285432709378,45,45,3066,2.42795452920518,2.67109723727879,"nitrate1"
"Esearch_CP052909_1_Constantimarinum_furrinae_strain_ALE3EI_chromosome.fasta","genome",0,0,0,0,0,1,"Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Constantimarinum","","CP052909.1","ALE3EI|type strain of Constantimarinum furrinae|Altibacter sp. ALE3EI|South Korea: Jeju Island|Lava water|33.5327 N 126.8204 E|2016-02-18",100,0,407,2.96214192401155,2.59989441934628,3.38314545434901,-0.242794840775315,78,42,2718,2.63601276903868,3.62101391546211,"N2O1"
"Esearch_CP053351_1_Winogradskyella_schleiferi_strain_Z215_chromosome.fasta","genome",0,0,0,0,0,1,"Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Winogradskyella","","CP053351.1","Z215|type strain of Winogradskyella schleiferi|Winogradskyella sp. Z215|Germany: Helgoland Roads|Surface seawater|54.18 N 7.9 E|2016-04-01",100,0,408,2.95740130862805,2.59588826521624,3.37752210887039,-0.228712083450346,151,41,3998,3.03034686853054,4.60504228863707,"N2O1"
"Esearch_CP053352_1_Winogradskyella_helgolandensis_strain_Z354_chromosome.fasta","genome",0,0,1,0,0,1,"Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Winogradskyella","","CP053352.1","Z354|Winogradskyella sp. Z354|Germany: Helgoland Roads|Surface seawater|54.18 N 7.9 E|2016-04-07",100,0,409,3.4757818710982,3.02622525019026,4.00318348490463,-0.180994911342445,138,41,3845,2.82323197670489,4.28112779508519,"nitrite2"
"Esearch_CP053947_1_Acinetobacter_sp_WY4_chromosome.fasta","genome",1,0,0,0,0,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","","CP053947.1","WY4|Euphausia superba|Antarctica|2016",100,0,412,0.483544008738396,0.379302274905062,0.621779676884556,-0.704017985630607,34,48,2842,4.58431015182295,4.70722433936355,"nitrate1"
"Esearch_CP054877_1_Candidatus_Vesicomyosocius_sp_SY067_SCS001_chromosome.fasta","genome",0,1,0,0,0,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","","clade_sulfur-oxidizing symbionts","Candidatus Vesicomyosocius","","CP054877.1","SY067_SCS001|Pacific Ocean: South China Sea|cold seep|16.694268 N 110.396942 E|2018-05-13",100,0,414,6.35738849030077,5.2118686413155,7.79935292018056,-0.0138495420681235,10,44,965,1.32370935245259,1.16453834356597,"nitrate1"
"Esearch_CP056122_1_Moritella_sp_5_chromosome.fasta","genome",1,0,0,0,1,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Alteromonadales","Moritellaceae","Moritella","","CP056122.1","5|Kiribati: Phoenix Islands Protected Area|bamboo coral|3.0539 S 171.3746 W|2017-10-16",100,0,415,1.383082980719,1.19317687118252,1.60827382666576,-0.385970512332086,90,49,4301,3.99863598614229,4.69828471065547,"nitrate1"
"Esearch_CP058364_1_Galbibacter_sp_BG1_chromosome.fasta","genome",1,0,0,0,0,0,"Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Galbibacter","","CP058364.1","BG1|KACC:16660|South Korea:East Sea|seawater",100,0,416,2.12193098048945,1.8679532753645,2.41608924433144,-0.321067025456262,110,41,3253,3.0738080433601,4.38275013946358,"nitrate1"
"Esearch_CP058981_1_Winogradskyella_sp_HaHa_3_26_chromosome.fasta","genome",0,0,0,0,0,1,"Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Winogradskyella","","CP058981.1","HaHa_3_26|North Sea|surface seawater|54.18416667 N 7.9 E|2016-04-07",100,0,417,5.20624288205137,4.37201360898782,6.22712921678755,-0.0671905050488676,132,41,3584,2.28824756102532,3.7684543933851,"N2O1"
"Esearch_CP058984_1_Polaribacter_sp_R2A056_3_33_chromosome.fasta","genome",1,0,1,0,1,0,"Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Polaribacter","","CP058984.1","R2A056_3_33|North Sea|surface seawater|54.18416667 N 7.9 E|2016-04-07",100,0,418,5.71517878596449,4.74774843190057,6.91418918051003,-0.0589508140484214,142,42,3624,2.2392060909333,3.84907782587254,"nitrate2"
"Esearch_CP058985_1_Polaribacter_sp_AHE13PA_chromosome.fasta","genome",1,0,1,0,1,0,"Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Polaribacter","","CP058985.1","AHE13PA|North Sea|surface seawater|54.18416667 N 7.9 E|2016-03-15",100,0,419,5.60530445534401,4.66725992069157,6.76474192539767,-0.0646563830482468,135,42,3478,2.19761499621746,3.77653190821219,"nitrate2"
"Esearch_CP058986_1_Polaribacter_sp_HaHaR_3_91_chromosome.fasta","genome",1,0,1,0,1,0,"Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Polaribacter","","CP058986.1","HaHaR_3_91|North Sea|surface seawater|54.18416667 N 7.9 E|2016-04-07",100,0,420,5.78153323864677,4.79619637740317,7.00473185028561,-0.0561423294578545,144,42,3482,2.12785647398741,3.84370284071079,"nitrate2"
"Esearch_CP058988_1_Cellulophaga_sp_HaHa_2_95_chromosome.fasta","genome",1,0,0,0,1,0,"Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Cellulophaga","","CP058988.1","HaHa_2_95|North Sea|surface seawater|54.18416667 N 7.9 E|2016-03-31",100,0,422,3.12619935428819,2.73770597677087,3.57889282134158,-0.20401582541107,158,40,3909,2.85900963281733,4.56816464085084,"nitrate1"
